"christian","afd_vote","east"
23.76,35.47,1
25.41,32.93,1
25.33,31.28,1
30.06,32.93,1
34.71,32.81,1
40.97,29.27,1
47.84,21.11,1
38.41,23.12,1
32.01,25.78,1
30.49,26.49,1
42.61,22.29,1
21.73,13.49,1
26.22,16.8,1
26.73,18.75,1
15.1,15.56,1
13.37,16.26,1
17.91,16.03,1
18.58,16.91,1
19.24,17.98,1
17.6,18.22,1
20.22,18.92,1
58.38,5.09,0
41.23,5.57,0
41.67,6.22,0
39.7,5.92,0
88.92,19.22,0
88.06,18.39,0
85.01,6.04,0
83.88,6.1,0
82.13,6.39,0
81.12,6.93,0
80.09,6.99,0
81.26,5.45,0
72.86,5.04,0
72.92,6.39,0
74.63,7.58,0
78.04,7.46,0
77.83,7.28,0
65.15,5.98,0
67.28,16.44,0
66.76,16.32,0
64.31,17.09,0
27.92,26.84,1
28.52,24.07,1
25.2,26.19,1
25.26,25.25,1
21.73,27.2,1
21.1,26.9,1
20.06,26.9,1
19.65,26.84,1
17.07,24.66,1
15.81,24.36,1
16,23.95,1
14.82,20.87,1
15.23,20.7,1
18.82,20.05,1
18.7,19.63,1
22.69,18.63,1
24.58,19.22,1
25.33,19.87,1
23.11,21.05,1
19.89,20.82,1
22.89,23,1
21.87,23.3,1
19.58,23.12,1
17.47,22.23,1
16.33,22.12,1
13.44,17.8,1
90.39,17.39,0
87.33,16.09,0
85.8,16.56,0
85.2,14.73,0
83.18,15.85,0
83.19,13.84,0
81.55,14.08,0
80.95,14.55,0
79.82,14.67,0
79.36,13.66,0
79.33,12.96,0
78.61,13.07,0
78.31,13.43,0
77.6,13.72,0
76.79,13.96,0
76.25,13.61,0
75.84,13.72,0
77.13,14.67,0
77.46,15.14,0
75.8,15.14,0
74.37,15.44,0
71.97,15.02,0
72.18,14.96,0
71.32,14.37,0
69.99,14.73,0
69.74,13.72,0
71.39,13.55,0
72.32,13.55,0
74.09,13.84,0
73.42,12.72,0
73.92,12.42,0
74.94,12.13,0
74.82,11.65,0
73.48,11.71,0
72.84,11.48,0
72.03,11.71,0
71.51,11.71,0
71.3,11.6,0
70.69,11.89,0
70.29,12.07,0
70.97,11.24,0
70.52,10.47,0
69.89,10.12,0
69.58,10.3,0
70.5,10.06,0
71.01,9.82,0
71.51,9.53,0
71.5,9.29,0
70.48,9.47,0
70.65,8.64,0
71.48,8.82,0
72.33,9.17,0
73.18,9.65,0
73.8,9.7,0
74.74,9.88,0
74.52,9.65,0
74.6,9.17,0
75.32,9.05,0
74.58,8.7,0
76.67,9.17,0
76.4,10,0
75.57,9.88,0
35.24,8.05,0
38.42,9.76,0
42.64,9.35,0
43.15,11.42,0
48.76,11.83,0
45.59,8.11,0
56.99,15.44,0
87.83,13.49,0
86.77,12.84,0
90.01,13.49,0
88.68,11.65,0
86.91,9.11,0
85.93,8.11,0
85.08,9.88,0
83.59,9,0
83.65,7.99,0
82.62,7.99,0
82.31,8.11,0
81.39,8.4,0
79.78,9.35,0
79.13,8.7,0
78.72,8.76,0
78.66,9.65,0
77.96,10.3,0
77.17,11.06,0
77.1,11.71,0
77.61,11.6,0
76.68,11.65,0
77.85,12.3,0
78.74,11.54,0
79.16,11.6,0
79.59,12.01,0
80.82,11.65,0
80.99,10.83,0
83.12,12.25,0
81.9,12.78,0
81.99,12.48,0
80.98,12.9,0
80.79,13.25,0
83.57,10.77,0
83.2,11.65,0
84.65,11.83,0
74.57,10.71,0
73.74,10.59,0
73.33,10.83,0
72.69,12.54,0
72.27,12.42,0
71.14,12.72,0
70.93,12.48,0
71.13,12.36,0
70.02,12.96,0
70.02,13.13,0
69.29,12.96,0
67.61,12.48,0
68.52,11.89,0
68.47,10.89,0
68.36,10.59,0
68.67,10.65,0
69.19,10.65,0
68.55,10.3,0
67.61,10.06,0
68.11,9.65,0
68.2,9.47,0
68.81,9.29,0
68.6,9.05,0
68.47,8.46,0
67.51,7.99,0
66.99,7.81,0
66.48,7.99,0
66.6,8.4,0
65.96,7.87,0
64.53,8.29,0
64.88,9.17,0
64.91,9.82,0
65.91,9.11,0
65.83,9.7,0
66.26,10,0
66.51,10.95,0
66.44,11.6,0
65.82,11.65,0
65.6,11.42,0
64.55,11.12,0
63.82,10.95,0
63.62,11.18,0
65.33,12.36,0
66.36,12.25,0
63.86,11.89,0
62.95,12.3,0
62.2,11.77,0
64.27,7.22,0
61.18,7.4,0
55.17,7.16,0
53.09,6.99,0
52.4,7.75,0
53.65,7.87,0
53.77,8.4,0
53.8,8.88,0
54.12,9.17,0
51.09,8.58,0
49.75,8.58,0
49.33,8.46,0
49.24,8.7,0
48.33,9.17,0
48.77,7.64,0
67.13,13.13,0
65.9,13.43,0
64.95,12.96,0
63.95,13.84,0
63.46,14.31,0
63.28,15.02,0
60.92,15.5,0
57.55,14.08,0
56.77,12.9,0
52.29,12.19,0
53.63,12.07,0
51.52,11.24,0
52.13,10.83,0
51.47,10,0
54.83,11.06,0
57.63,11.36,0
57.47,10.06,0
57.36,9.82,0
58.18,9.76,0
58.41,10.18,0
58.62,10.35,0
59.33,10,0
60.07,10.41,0
59.99,10.95,0
60.64,11.42,0
61.03,10.95,0
61.23,10.95,0
61.83,10.47,0
62.24,10.41,0
59.51,9.41,0
59.59,9,0
58.14,8.94,0
63.42,8.94,0
63.34,9.47,0
63.14,9.53,0
62.72,9.59,0
62.32,9.76,0
62.12,9.88,0
61.8,9.7,0
